age,gender,income_level,nationality,GPA,attendance,course_completion,assignment_delays,LMS_logins,forum_posts,night_study_hours,engagement_score,sentiment_score,motivation,emotional_exhaustion,depersonalization,personal_accomplishment,autonomy,competence,relatedness,O,C,E,A,N,burnout_score,burnout_level,dropout_status,time_to_dropout
26,M,Low,US,2.9,100.0,93,2,25.757666666666665,4,9.348047336681853,85.01647088754056,0.8301479404807475,62.59805847979661,45,22,18,2,4,6,0,51,13,23,93,49,Medium,0,38
29,M,Medium,CN,2.64,86.33020948286956,38,2,21.257666666666665,7,11.637036542801606,81.16916145167782,-0.2031639025537033,61.15950202294539,50,32,13,6,6,4,30,89,84,74,77,69,High,1,18
26,M,Medium,IN,2.47,82.7453483711105,63,3,26.757666666666665,4,9.13084335128547,50.59328049587,0.11216633772701923,68.03612937322464,44,45,42,4,4,2,59,100,76,12,57,47,Medium,0,5
22,M,Low,US,2.06,70.23626609814801,4,3,32.757666666666665,2,10.583025107378663,81.51086139226302,0.11932458479989849,48.86038975413419,34,43,44,2,2,2,52,62,90,8,13,33,Medium,1,4
29,M,High,CN,2.33,89.11250800983845,71,2,20.257666666666665,5,11.85583570303198,90.51778624534809,-0.313834899463334,80.52223932315954,18,6,29,6,2,4,46,60,100,52,96,0,Low,0,13
22,F,Medium,IN,2.87,66.42306725686208,55,1,21.757666666666665,2,15.25846721640054,80.58536654208483,0.7137263329954286,32.6764075738198,16,3,40,4,4,4,90,70,89,49,49,0,Low,0,19
21,F,Medium,US,2.97,64.32943550317619,88,3,28.257666666666665,6,11.348301653845771,33.79736390886027,-0.4167689410342339,59.57169102632376,18,18,50,6,1,4,60,4,26,71,3,0,Low,0,3
28,F,Medium,IN,2.6,74.41112877118354,33,2,28.757666666666665,7,10.653087166560544,73.97132484633607,-0.14579158913000057,47.48390709653235,49,6,48,3,2,6,58,31,10,9,47,7,Low,0,47
22,F,Low,US,3.04,99.54490911961447,93,0,36.757666666666665,8,16.10620544166487,90.75224643456735,0.8137990163211757,80.13500762601304,23,46,2,5,1,5,79,7,26,91,3,67,High,1,23
18,M,Medium,DE,2.78,98.97894232392612,58,2,36.757666666666665,4,4.132100937277609,63.27073898596092,-0.30815615667689733,44.10990512289639,2,27,22,3,6,1,91,15,91,59,25,7,Low,0,3
23,M,Medium,DE,3.55,75.48763071749457,21,1,20.257666666666665,7,9.723952941005047,100.0,0.022178824217756743,61.418833227304034,4,4,15,4,2,4,23,41,38,27,76,0,Low,0,15
27,M,Low,IN,2.92,73.25800981802016,16,1,24.257666666666665,2,7.776155949811601,37.29604104557193,0.7411720605394951,61.70272390129131,28,28,12,2,3,5,88,93,72,77,77,44,Medium,0,69
20,M,High,DE,3.35,63.5963795944022,19,0,39.757666666666665,4,9.284772962935985,72.19221738837506,-0.3449899288254714,63.916383487225836,2,37,28,2,3,6,37,87,36,66,100,11,Low,0,34
23,M,High,CN,3.1,80.78030725520084,30,1,31.257666666666665,9,11.81192422501337,80.85081449924293,0.923403382502824,45.40216813626379,34,39,2,1,5,3,91,39,58,91,21,71,High,0,26
19,F,Medium,DE,2.3,81.6201275198812,55,2,32.257666666666665,6,12.941988604774338,72.58126665951652,-0.5928968771840506,67.31365394028734,0,48,11,3,4,2,46,36,64,53,14,37,Medium,0,7
26,F,High,US,2.95,87.89556254196913,87,2,37.757666666666665,3,8.438796559878897,72.30997284652348,0.36834741262688975,60.57223240863011,34,31,10,2,2,3,70,98,90,69,29,55,Medium,1,5
23,F,High,IN,2.38,89.10707513325164,100,3,26.257666666666665,9,12.007395355737264,54.39801128536594,-0.8799259499715657,66.8679918807632,26,30,49,3,4,5,77,99,45,89,37,7,Low,0,7
21,M,Medium,UK,2.95,78.02578082335367,68,1,32.257666666666665,5,7.307065797922935,61.37022416005484,0.07418672537744975,91.48825453625597,34,2,46,3,5,2,39,57,94,83,24,0,Low,0,23
20,F,Medium,IN,2.63,85.56027874759585,49,1,25.757666666666665,3,6.158537781087074,78.60496305706991,-0.6812137424305669,62.32073271876932,27,44,35,4,5,6,45,1,63,70,99,36,Medium,0,16
24,M,Medium,DE,3.19,72.99361132153464,61,2,33.757666666666665,3,10.212571354629018,38.29393512431501,0.2569575489769844,40.09843552269042,20,39,22,1,2,5,35,39,42,38,81,37,Medium,1,20
26,M,Low,CN,2.33,85.37042533360686,33,1,35.757666666666665,8,9.344381713299502,83.57974779275872,0.23364472348850596,99.22053375837655,3,40,30,3,1,3,21,55,9,18,88,13,Low,1,1
29,M,Low,CN,3.01,74.92767921815441,24,2,28.257666666666665,7,14.47160110867507,68.28930529250432,-0.16707364771912858,79.58204073363389,30,49,33,6,5,3,99,73,100,3,66,46,Medium,0,56
23,F,Low,CN,3.29,84.59458515966938,54,6,24.257666666666665,6,16.38535220646722,78.28411968961147,0.8496612070742839,73.08057456101804,9,41,6,1,4,5,90,98,74,26,41,44,Medium,0,23
19,M,Medium,UK,3.45,83.78501325285366,83,2,37.257666666666665,5,8.174350098165103,82.69577960681254,0.7828101257023388,56.347063761262646,45,22,10,6,1,4,8,65,98,47,28,57,Medium,0,24
27,M,Medium,US,2.62,80.68803625695064,6,1,29.257666666666665,6,4.565416621639429,100.0,0.4699623147163401,74.79395437223336,37,32,40,1,1,4,6,48,77,63,89,29,Low,0,5
25,M,Medium,UK,3.01,87.94539718159355,11,3,29.257666666666665,6,5.8984785936850574,90.98069822522812,0.4393037267722162,18.852300092095824,48,45,46,6,1,2,81,50,34,19,13,47,Medium,0,37
26,M,Medium,UK,3.09,64.29600928639314,17,1,27.757666666666665,7,7.492905408842782,51.97388510970555,-0.8635439144589596,90.92491860457791,27,3,49,3,4,2,64,51,95,75,45,0,Low,0,13
19,M,Low,DE,3.77,69.3508378177906,21,2,40.257666666666665,5,10.621916269613298,100.0,-0.35288725604527316,77.92656284805047,47,7,12,5,2,2,73,61,17,87,7,42,Medium,0,34
21,M,Medium,DE,2.26,77.29940326446966,15,3,28.257666666666665,10,9.216424321733193,29.300029353286547,-0.5936754526934049,56.458699123476315,39,20,40,6,2,3,30,32,66,7,34,19,Low,0,54
27,M,Medium,UK,2.54,65.56736612326677,13,1,26.257666666666665,4,6.22446871778951,63.343900813944245,-0.22290649310730304,77.41874605445469,42,33,34,5,6,4,59,19,41,86,93,41,Medium,0,7
27,M,High,CN,4.0,75.93135485445295,2,1,29.257666666666665,5,15.358414069792717,72.6040483688244,-0.7816600394861446,72.37669207286154,10,42,28,5,4,6,49,80,58,65,59,24,Low,0,127
23,M,High,CN,2.86,76.2536970492245,35,0,22.257666666666665,7,11.9885765366978,65.13997515621699,-0.3634747707448114,39.81255108460408,39,15,7,1,1,6,3,74,1,7,9,47,Medium,0,13
27,M,High,IN,2.05,93.09683786666693,72,1,34.257666666666665,2,15.277058126617703,74.22636760018582,0.1418568014340582,63.57844256024961,29,10,34,2,3,3,97,93,58,17,28,5,Low,0,12
28,F,High,DE,2.71,81.42533702291462,15,2,19.757666666666665,6,4.596723355690436,67.46873385737136,-0.6676178835708149,67.50046686340991,40,9,5,6,3,3,97,70,49,75,16,44,Medium,0,21
22,M,High,IN,1.62,90.29429576063878,32,4,32.757666666666665,2,13.818033415830032,89.27126972503984,-0.7884894906069855,57.32303818788577,12,15,27,6,5,2,60,43,9,95,66,0,Low,0,9
28,F,Medium,CN,3.12,83.01674718809718,98,1,22.757666666666665,5,9.552916278181874,62.766311278723876,0.41336741999005566,55.6152241383905,13,3,17,2,4,6,12,89,30,74,43,0,Low,0,23
21,F,Low,US,3.4,74.64332728767934,17,1,24.257666666666665,4,8.824488296399545,68.26540421114458,-0.5061474105848858,78.02502359267804,48,26,1,4,1,6,67,92,33,97,29,73,High,1,26
20,M,Low,IN,2.54,81.33716807746512,99,2,25.757666666666665,6,10.07298896107634,96.57250767217175,-0.04357478374497714,63.51991063555149,20,43,19,3,2,3,23,66,17,36,69,44,Medium,0,6
26,M,Medium,IN,2.76,87.29426333932173,51,1,32.757666666666665,4,7.901510982912193,84.52189123183123,0.6768825708126935,97.55651099706667,47,21,44,6,4,2,65,14,89,86,51,24,Low,0,39
25,M,Low,CN,3.46,91.93401326442581,73,2,27.257666666666665,5,9.571015840774228,67.45174330213403,-0.24290096821158702,46.935972943593725,11,24,39,6,2,6,20,90,76,86,70,0,Low,0,39
19,M,Low,CN,2.12,78.67689937065566,32,3,22.257666666666665,7,12.839267676195428,77.08474526321002,-0.8028543357766977,68.18912841536574,16,41,11,5,2,1,72,68,89,86,78,46,Medium,0,32
27,M,High,UK,2.34,63.52489356147056,32,2,28.257666666666665,3,4.110967449468022,98.08980793211886,0.5706703219132592,41.59076439530773,21,0,37,5,6,3,45,25,11,1,17,0,Low,1,16
20,M,Low,CN,2.89,62.821977425780986,39,0,26.757666666666665,4,14.491938643886233,49.23143391260545,0.4770153671028061,73.5497557050573,7,49,15,4,1,2,44,31,96,97,87,41,Medium,0,33
27,M,High,US,2.62,76.73587389883113,12,1,31.257666666666665,6,11.177172535069225,53.68783610308765,0.22043316235656896,37.712833134325756,21,10,21,6,2,4,99,12,51,52,9,10,Low,0,11
18,M,Medium,CN,2.85,56.62098498852027,31,1,24.757666666666665,3,9.669347383427258,61.38091795968673,0.0758341001183791,65.76409676363427,7,5,46,6,4,6,1,10,67,28,4,0,Low,0,72
27,F,Medium,US,2.37,97.9510446573683,90,3,20.257666666666665,12,12.806840518110018,73.25787771619103,0.50438133157009,83.6125275701258,7,30,26,3,5,1,91,38,98,76,5,11,Low,0,40
27,M,Medium,DE,3.11,85.96933231399734,0,0,28.257666666666665,4,11.091443241003438,84.52576461180172,-0.29346600433720327,61.039524544481964,8,0,38,3,5,2,89,62,22,52,73,0,Low,1,44
27,F,Medium,UK,2.93,73.64332990502756,57,5,32.257666666666665,4,8.560268442122002,58.526964121094295,-0.3406180137926216,40.18670990627352,18,22,50,3,2,1,95,61,86,38,7,0,Low,0,5
25,M,Medium,IN,3.27,68.90352405991204,69,1,18.257666666666665,4,7.681430128063699,55.875381853004455,0.25482793735497955,78.90159857549648,32,39,28,5,4,6,56,54,83,13,89,43,Medium,0,56
23,F,Low,IN,3.1,90.2811909597611,14,3,21.257666666666665,8,14.498649946445507,50.32529501429889,-0.667142096513758,67.20398958791155,19,35,24,6,5,1,0,60,32,81,74,30,Low,1,93
26,M,High,US,3.1,68.86362844348994,11,4,35.757666666666665,4,5.562927623483331,55.86606218844888,0.2664445881553035,58.29555981899392,9,3,12,2,1,6,92,57,58,46,74,0,Low,1,61
21,F,Medium,IN,2.28,69.81773236398948,55,3,29.257666666666665,4,9.409280140334706,60.163745750804445,0.7341290447004067,40.64463663092361,48,37,30,3,4,3,68,63,68,61,32,55,Medium,0,10
27,F,Low,US,3.25,72.34054059973309,22,3,30.257666666666665,7,5.7687470758697525,37.548174266307576,0.030240303005994562,27.79268812698612,9,12,41,6,4,1,74,74,9,10,23,0,Low,0,64
24,M,Medium,DE,2.83,81.14087414574325,98,3,25.757666666666665,4,11.46336290834214,61.58013332028616,-0.8341417335547316,100.0,32,9,48,2,2,3,25,87,4,27,32,0,Low,1,2
23,F,Medium,US,2.92,86.20797439147398,19,2,42.257666666666665,3,9.70886248295603,54.257297745266555,0.32572695282041986,48.53626301062854,20,17,27,5,5,5,76,48,5,69,75,10,Low,0,46
24,M,Medium,UK,3.52,91.92672233415664,13,2,32.757666666666665,8,6.251438934240349,67.54157107741361,0.7386481431042253,40.14113918660451,2,22,12,5,3,2,16,62,78,29,21,12,Low,1,154
24,M,Medium,CN,2.64,90.44971298946702,33,1,31.757666666666665,5,7.393004886618538,95.47095255074933,-0.6063079293875904,66.29323711826055,40,15,27,2,1,4,65,38,62,7,81,28,Low,0,13
18,F,Low,IN,3.68,80.00773709234741,33,1,31.757666666666665,3,10.133224034417523,46.098242068850176,0.22436455764484053,39.63804267534731,5,27,50,2,3,3,70,84,34,29,35,0,Low,0,10
19,F,Medium,DE,3.72,90.20521973756334,16,0,38.257666666666665,5,10.855227939975709,85.2090501136441,-0.605760279478397,69.96294311681666,6,33,9,4,3,4,97,74,66,86,18,30,Low,0,23
20,M,Low,US,3.38,73.2900038602364,67,1,24.757666666666665,3,4.188489132952367,95.01537431676984,0.6394422130611652,87.02122741640262,2,3,31,5,5,2,88,17,64,96,39,0,Low,0,1
19,F,Low,DE,2.51,61.791339855380336,35,3,25.257666666666665,5,7.8837240648870885,84.47305593051362,-0.4943246494669249,38.84256292253676,8,14,22,1,2,3,80,73,31,86,92,0,Low,0,14
23,F,Low,UK,1.91,73.28868928289492,53,3,39.257666666666665,8,10.481358820009445,75.1360388698707,0.2588581561963479,54.0250302152791,16,15,37,6,5,6,71,12,50,37,30,0,Low,1,41
26,F,Medium,UK,3.54,71.93739485723712,24,1,19.757666666666665,2,13.629472307906827,89.70970446172076,0.17863806598729104,68.61688677790426,3,30,18,4,5,1,43,53,94,97,27,15,Low,0,34
25,M,Medium,DE,3.06,73.68012928200824,9,1,19.257666666666665,4,12.517781894336554,79.49348128039682,-0.2504563031803553,35.63744574953826,9,13,24,1,4,2,62,88,90,84,73,0,Low,0,7
23,F,Medium,CN,2.63,70.4062527075811,6,0,25.257666666666665,2,8.635121031037032,86.66041869076403,0.8009324606414476,41.78239127673848,3,35,14,5,3,1,27,62,17,2,95,24,Low,0,23
28,M,Low,IN,3.59,75.38890422420288,5,0,27.757666666666665,5,12.997281554648682,71.7801154929256,0.8026191040091057,57.66489000256057,11,37,48,4,1,3,78,5,25,35,22,0,Low,0,1
24,F,Low,US,2.57,86.20017214093578,87,1,29.757666666666665,3,9.054799261793255,54.09527236144868,-0.31983076486902284,99.21495156454233,8,1,24,3,2,1,39,51,15,82,50,0,Low,0,11
18,F,Medium,DE,2.79,97.15257102662571,26,4,41.757666666666665,3,0.6328259318403688,87.456287254536,-0.30381903874216554,42.94409812634254,14,32,46,2,2,1,86,81,94,18,79,0,Low,0,96
27,F,Low,CN,3.26,62.74653525740977,30,2,34.257666666666665,4,14.322627519843678,100.0,0.30969313500705664,54.34402793796397,40,18,42,5,4,2,18,63,37,29,13,16,Low,0,16
24,F,Medium,DE,2.44,67.12265373099255,58,3,23.757666666666665,7,11.37296516206219,64.89377849281121,-0.4320124131800209,100.0,6,14,25,3,6,5,9,88,52,97,21,0,Low,0,21
25,F,High,IN,2.95,72.08553741271832,9,1,35.257666666666665,6,10.564162053829383,70.33871111375409,-0.3923521855356653,75.90300595106571,50,2,16,5,5,4,24,40,50,19,71,36,Medium,0,38
24,M,Medium,DE,3.54,87.65741877436592,60,3,31.757666666666665,1,10.02467397927836,71.6799934671597,-0.9588470187773599,26.11481073020557,26,24,28,5,6,4,44,50,4,74,28,22,Low,0,2
24,M,High,DE,3.11,77.9505255702695,52,3,32.757666666666665,13,10.90814997194946,47.964601049018896,-0.8121146382745228,55.32926019646013,10,39,12,6,3,2,16,82,47,75,57,37,Medium,0,77
19,F,Low,IN,3.62,72.75890776896377,79,1,17.257666666666665,2,10.021912636415212,57.27594151126041,0.31606984005720373,71.69930476174797,8,7,25,6,1,6,54,63,8,26,47,0,Low,0,3
24,M,Low,CN,3.57,87.16733007705422,12,3,30.757666666666665,4,9.132660298780012,74.56782871543976,-0.3583941673258082,88.93357353945389,9,2,44,6,6,3,5,71,69,12,77,0,Low,0,1
27,F,Medium,UK,3.0,89.5639026634197,1,2,37.257666666666665,3,8.040690743897656,68.59172732810043,-0.8375209628303502,87.8573081950872,39,7,34,4,6,4,80,25,35,10,48,12,Low,1,4
21,M,Medium,IN,1.83,79.8124004057637,78,2,34.257666666666665,4,10.230855991735849,70.25075269483983,0.8604131096397554,71.20148220256935,8,43,39,2,4,4,39,72,20,88,30,12,Low,1,4
